overall,reviewerID,asin,reviewerName,unixReviewTime
5.0,A3A770EP3KUHKM,0763855553,Terry R. Henderson,1396483200
5.0,A3VV6SV0Z2HNTA,0763855553,Uncle Bob,1396310400
1.0,A2MKY8OUI8GZG1,0763855553,Big shopper,1395014400
5.0,A3VONQL7YW8UPM,0763855553,LUCK,1393804800
4.0,A3N7T0DY83Y4IG,0763855553,C. A. Freeman,1388448000
4.0,AA90W95STFGAC,0763855553,Amazon Customer,1381968000
3.0,AHNHLGKIZ2N3B,0763855553,D. R. Jeanclerc,1381968000
5.0,A16QODENBJVUI1,0763855553,Robert Moore,1381881600
4.0,A376OJHLE6SU9Q,0763855553,M. Wolf,1381622400
4.0,A1E5WXNTI7EO2A,0763855553,Sarah B.,1381190400
4.0,AEJAGHLC675A7,0763855553,John Williamson,1380499200
5.0,A17A1KTVI3DG6U,0763855553,Nathan A. Edwards,1380412800
5.0,AZZ5ASC403N74,0763855553,Rose Blue,1380412800
3.0,A4U27URFECK1U,0763855553,The Technologist,1380240000
4.0,A2CZ98V784SRJ0,0763855553,L. Perry,1380153600
3.0,A2GP6XJ1V3MM3L,0763855553,BumbleB,1380153600
5.0,AGOH8N902URMW,0763855553,Zeb,1380067200
4.0,A3OIMUR42XIOFQ,0763855553,David Field,1379721600
5.0,A379DLIAF0MFM5,0763855553,Mr. Deeds,1379635200
3.0,A1GQRGB8FGSLIZ,0763855553,Amazon Customer,1379462400
3.0,A12GIOKE26ZFKJ,0976963027,Cutie,1398902400
5.0,ACJT8MUC0LRF0,0982697813,D. Fowler,1306886400
4.0,A17BUUBOU0598B,0982697813,Mark,1306800000
5.0,A2EWTWUJYREJFO,0982697813,diego lara,1363305600
5.0,A3963R7EPE3A7E,0982697813,John Schar,1326931200
5.0,AZYJE40XW6MFG,0982697813,A. Manning,1317168000
4.0,A3TPNC3TKGCCEI,0982697813,Ms. Rocki,1314230400
5.0,A3G007LQX6KGOD,0982697813,SevereWX,1311120000
5.0,A3BNMHRW2R35LK,0982697813,S. Peterson,1310601600
4.0,A1PI8VBCXXSGC7,0982697813,Lynn,1310169600
5.0,A1D7VWS3DWS7X8,0982697813,Joseph Siegler,1309305600
4.0,A1U6XG3OMP5S62,1413313701,Kindle Customer,1290124800
4.0,ATZJNEXX7LWD3,1413313701,RG,1289779200
5.0,A21U4DR8M6I9QN,1413313701,Vintage PowerReader,1289347200
5.0,A2BMSLF6UPAQOE,1413313701,KB,1416268800
2.0,A2P6QCZWW3H1X6,1413313701,Londonnoise,1378857600
5.0,A2AMTEB5UZEOXE,1413313701,Kelly,1353196800
4.0,A3PJZ8TU8FDQ1K,1413313701,Jared Castle,1337817600
5.0,A2ZJMLZ1IA2YA9,1413313701,Rachel B,1334707200
5.0,A14JBDSWKPKTZA,1413313701,Bob Feeser,1327708800
4.0,A2L6QS8SVHT9RG,1413313701,randomartco,1317945600
5.0,A38DSYHNBYZNUG,1413313701,Dirk J. Willard,1314835200
2.0,A3R1WFO4KIUQXZ,1413313701,PhotoGraphics,1312070400
3.0,A5JLAU2ARJ0BO,1413313701,Old-and-Wise,1310169600
4.0,ACVDL5QRCOPE1,1413313701,D. H.,1308096000
3.0,A3H7ADUP07D93H,1413313701,J. Fuchs,1306368000
5.0,A2XU6J41ZQOJ2V,1413313701,Gary S,1295481600
5.0,A3BNMHRW2R35LK,1413313701,S. Peterson,1295481600
5.0,A3FFKU2MTCOBM1,1413313701,new yorker,1293494400
4.0,A36WTQL2AW6NR5,1413313701,David Enzel,1292457600
4.0,A1TR1R2QKWRSRA,1413313701,D. Chou,1292371200
5.0,A226VGZWOEBPGL,1413313701,Amazon Customer,1292371200
5.0,A11SWG9T60IQH8,1413313701,Turtles all the Way Down,1290470400
5.0,ABOYCZON8UEGJ,1413309674,Jay H. Colborn,1252886400
5.0,A1EH2S92FHWZRP,1413309674,Just a guy,1252454400
3.0,A2HMF8ZR67BNZS,1413309674,Bill A. Belt,1248998400
5.0,A3AYSYSLHU26U9,1413309674,AmazonUltimateConsumer,1247529600
2.0,A1T2ZO4ARVSUGE,1413313728,Dave Greenbaum,1294444800
4.0,A16RI68PS6T5CA,1413313728,Gadget Geek,1293321600
5.0,A1GWG5CWLKJ7ET,1413313728,Robert,1293062400
4.0,A1HOLE9R6WPT85,1413313728,Mad Max,1327536000
5.0,ALQ4USPEQ9L5N,1413313728,Shopaholic,1321488000
5.0,A1GQRGB8FGSLIZ,1413313728,Amazon Customer,1318032000
5.0,ACVDL5QRCOPE1,1413313728,D. H.,1316822400
5.0,A26LQSC65AMTGK,1413313728,Dawn Dowdle,1308182400
3.0,A2SZLNSI5KOQJT,1413313728,Carrie,1299974400
4.0,A7JGEKN140F4S,1413313728,kc,1298937600
5.0,A3LDLV1GWQJLEQ,1413313728,E. Talerico,1297900800
5.0,A1D7VWS3DWS7X8,1413313728,Joseph Siegler,1295481600
5.0,A3LGT6UZL99IW1,1413313728,Richard C. Drew,1294876800
5.0,A23Y6DXVZTTXKJ,1426296355,Stephen Duesler,1353888000
5.0,A3CAG7WLTAKPI,1426296355,Bisforblake,1341964800
3.0,A1MRPX3RM48T2I,1426296355,Trenton Bennett,1275868800
5.0,A32B6XWNR55SRL,1426296355,James W. Durney,1263772800
5.0,A38KK0SZYEH5UD,1426296355,Busy Executive,1261180800
5.0,A22RY8N8CNDF3A,1426296355,Loyd Eskildson,1260489600
5.0,ARADXCOUVBS09,1426296355,Gavin Scott,1259884800
5.0,A11REZES0TNBSD,1426296355,Joseph T. Reinckens II,1259712000
1.0,A1X4EQRYDZ84BV,1597750328,M. Gilkey,1207612800
1.0,A3UPFPG415SBWB,1597750328,A. Ragosta,1284336000
3.0,A3F3B6HY9RJI04,1600775411,James Duckett,1348444800
4.0,AD1ZOPB0BBEHB,1600775411,Suz,1340841600
4.0,AHQRU3MRORIWQ,1600775411,EMTP EJ,1332201600
3.0,A1SCANWWQTEG9I,1600775411,thelastcoyote101,1329436800
4.0,A1WBEIH7Z37LN9,1600775411,MagicSkip,1313539200
4.0,A2F2S1L61X1LA9,1600775411,Bromptonboy,1302480000
4.0,A21OGQWFAKGC41,1600775411,C. Robinson,1299110400
1.0,A1A21GIPMY89BZ,1600775411,x,1296777600
2.0,A2B3CIEV3SW6EG,1600775411,Michael E. McGown,1276646400
3.0,A3RF46CL8GDIN8,1600775411,NorthStar,1275264000
3.0,A8WAYVOKYBLO6,1600775411,Darcy Pennell,1274313600
4.0,A1U7LS93I03MFW,1600775411,Christopher K. Koenigsberg,1271894400
1.0,A268QM4AOCO9NI,1600775411,Chris W.,1270857600
3.0,A2YKWYC3WQJX5J,1600775411,ShannonOnTheLakes,1270080000
3.0,A301B6L3TCD7WL,1600775411,Tanya McHenry,1266364800
4.0,A2WN1QF8GSVHYV,1600775411,Altmed,1266105600
4.0,A3D5B2CBFNJB0K,1600775411,ut158,1265932800
3.0,A3OXHLG6DIBRW8,1600775411,C. Hill,1265414400
4.0,A1ZZR25X0CNOJX,1600775411,slim,1264896000
4.0,AYVM2DODURDLE,1600775411,Veritas513,1264723200
4.0,A3S3R88HA0HZG3,1600775411,PT Cruiser,1259020800
2.0,A2JCJJNY43QQIV,1600775411,Katy Lake,1258588800
5.0,A3FGJDBSMCSG7G,1615354336,Sam Vaknin,1284940800
4.0,A225G2TFM76GYX,1615354336,J. White,1284508800
3.0,A33XJPI7NIPDHB,1615354336,Taylor Jones,1312848000
5.0,A3K9K53Y7E1OTM,1615354336,PersonReviewing,1301616000
5.0,A2LXC5ZHHP0WXP,1617160199,"Leah Maines, best-selling, award-winning author, actor, and editor",1299110400
5.0,A19TKRB4LR9ZX0,1931020752,Jarik25,1250035200
2.0,A3M6P5P0NLPTP3,1931020752,Amazon Prime Customer,1361577600
1.0,A225G2TFM76GYX,1935341049,J. White,1326758400
1.0,A1IJPJPYN1AKSZ,1935341049,Picartist,1314489600
2.0,A2FQ5HDT4DWZNH,1935341049,B. Tupper,1304899200
1.0,A2WLDEORTNRY0D,1935341049,SBJ400,1300924800
4.0,A1WMEOGVZKO8MI,2749010993,CST,1171756800
5.0,A1E3OB6QMBKRYZ,3937514775,MagnumMan,1232236800
1.0,A20DZX38KRBIT8,3937514775,Deimos,1236211200
1.0,A2F2F7N94SR1KQ,3959828101,Razornoodle,1475107200
5.0,A3LJ2XUYKO6F2,3959828101,twinthom,1488585600
5.0,AYICV8N9QCSBE,3959828101,lacyt,1487635200
1.0,A3M2QH93GOKJLW,3959828276,Wendell L. Gladish,1487548800
2.0,AS2GVS22GP162,3959828241,P. Pieri,1499904000
1.0,A1MH90R0ADMIK0,3959828241,Tommy A. Bird,1487808000
5.0,A3TPKBOJKCP6F3,3959828241,Carville T,1478736000
2.0,A2WCFDOCS73PNB,395982825X,Gadgetman,1485302400
1.0,A37I5YKH71AVFD,B00000K4CS,Steve Silverman,1071360000
5.0,A1RUBF0FK78E5Y,B00000K4KT,Michael Ceciliani,1275004800
5.0,AT2BYFEVLVITT,B00000K4KT,D. Wetzel,958694400
4.0,A1MO9MSH7RFFC8,B00001SHKN,Pinetree,1238198400
5.0,A2L28CAIUAT503,B00001SHKN,Clayton Thomas,1198713600
5.0,A35KD1U1M387I0,B00001XDWZ,Todd E. Newman,1032220800
5.0,A15IZQLN9J5CCQ,B00001XDWZ,Michael Gering,963705600
1.0,A7EJERNB7IK3Z,B00001XDWZ,CQ DX,1347667200
3.0,A3QQO9GVE0GOFE,B00001YVBG,Louis Rios,944006400
5.0,A2NYCHZ7MZ3OU3,B00001XDW8,Rebecca Sikes,1391817600
5.0,A30YE6NE9XFX9C,B00001XDW8,Jim,1289088000
3.0,A3U78OW4OO2Q8W,B00001XDW8,poltroon,1253836800
5.0,A1NF93OYP9ZCT5,B000021YVS,Kindle Customer,1039478400
5.0,A1WTCSBFHDKJMS,B000021YVS,Rocco B. Rubino,986342400
4.0,A1PEO80SRE0067,B000021YW8,SideshowJazz1,1309737600
5.0,A2G0O4Y8QE10AE,B000021Z1D,Deborah Woehr,960249600
5.0,A18TLWHJG3GPZO,B000021Z1O,Samer Alaqeel,1149984000
4.0,ATD2TKJE84XRM,B000021Z1O,Amazon Customer,976924800
5.0,A2AGUG8B7T7DP4,B000021Z1O,denise McClintock,1416441600
5.0,A21H4R2TIHTYXL,B000021Z1O,Michael J. Klein,1392681600
5.0,A3A2RMW9SQS60B,B000023VV2,Amazon Customer,1082160000
5.0,A30H2335OM7RD6,B000023VV2,apoem,1053043200
5.0,ATD2TKJE84XRM,B000023VVY,Amazon Customer,968284800
5.0,A3A2RMW9SQS60B,B000023VVY,Amazon Customer,1043452800
5.0,A3MVMPFBN1RFFV,B000023VVH,Disney World Mommy,1105747200
5.0,A28FRGJMMTWKKD,B000023VU1,Rosanne,1052870400
4.0,A2IE7YPWUYZAXS,B000023VU1,David Wilson,964569600
5.0,AGVY193PRPLZC,B000023VU1,Douglas Smith,950227200
5.0,A1QSF4JURQA14I,B000023VU1,Amazon Customer,1239148800
5.0,A1U7LS93I03MFW,B000023VU1,Christopher K. Koenigsberg,1096329600
5.0,A2C27IQUH9N1Z,B000023VU1,audrey frances,1069459200
4.0,A30H2335OM7RD6,B000028EHU,apoem,1022112000
2.0,A2C27IQUH9N1Z,B000028F4I,audrey frances,982281600
2.0,A28FRGJMMTWKKD,B000028EHV,Rosanne,1015977600
4.0,AUM3YMZ0YRJE0,B000028EHV,Robert J. Crawford,1011916800
5.0,A30H2335OM7RD6,B000028EHV,apoem,1004227200
5.0,A1DTOHMM2Y5KY0,B000029714,Michael J Woznicki,947376000
3.0,A243HY69GIAHFI,B0000296ZH,tropic_of_criticism,946944000
3.0,A3H4TIVTTA5IBB,B0000296ZH,Brian A. Wolters,943660800
5.0,ATD2TKJE84XRM,B0000296OP,Amazon Customer,977961600
2.0,A3FE2GUBM8JZ3G,B0000296YH,TestMagic Inc.,963446400
4.0,A2DJDS2KLFR9YM,B00002K10B,Bikerman,944524800
5.0,A2SR8P74KODIB4,B00002JV9C,JJM,1413417600
5.0,A3A5HLFUJ5WU2B,B00002JV9C,V. Fothen,1403308800
5.0,A1Y7QU3BUUSI6R,B00002JV9C,Geezer G,1349481600
3.0,A247L282PID4PE,B00002JV9C,Paul,1339891200
5.0,A1PNZV9C1YZVCP,B00002JV62,D. Hunter,966384000
1.0,A1ZBYJ4ET9FZNC,B00002JV62,Razi Uddin Hyder,1420934400
5.0,A3O23O3490MM6L,B00002JV62,Allison,1358899200
5.0,A3MV1KKHX51FYT,B00002JV62,Acute Observer,1270080000
5.0,A1LCS3WQEWUO6Y,B00002JV62,Amazon8892,1225411200
5.0,A2C27IQUH9N1Z,B00002S6E4,audrey frances,1068076800
5.0,AXJTNYD3UK1BP,B00002S6E4,1smileycat,1050969600
5.0,A28FRGJMMTWKKD,B00002S6E4,Rosanne,1019433600
5.0,AGVY193PRPLZC,B00002S6E4,Douglas Smith,951264000
3.0,A38R6K4AGOC0Q3,B00002S73L,Bryce Conner,984182400
4.0,A3C1MJ6AYAJ1PP,B00002S73L,Jon,958435200
5.0,A2G0O4Y8QE10AE,B00002S8OY,Deborah Woehr,960249600
4.0,A3C1MJ6AYAJ1PP,B00002S9PT,Jon,958435200
4.0,A1C9C1QOQB94RT,B00002SFM4,Robert Herschede,1011744000
5.0,AJI21OXVSBXLK,B00002SFM4,Hasit Dave,986774400
4.0,A1IU7S4HCK1XK0,B00002SFM4,Joanna D.,986601600
3.0,A3H1CE8T6GDVWV,B00002SFM4,Fixer,982108800
4.0,A2SRVDDDOQ8QJL,B00002SFM4,MJ23447,976492800
4.0,AQ6XS10RR7CE0,B00002SFM4,Mike P.,975110400
5.0,A3S87ZOPB3UM9N,B00002SFM4,atmj,971913600
5.0,A281NPSIMI1C2R,B00002SFM4,Rebecca of Amazon,965692800
1.0,A3C1MJ6AYAJ1PP,B00002SFM4,Jon,958435200
2.0,AZWTRKAX60DLB,B00002SFM4,John Harris Stevenson,957744000
4.0,AJPH8OQSWKR7K,B00002SFM4,Rudy,955324800
4.0,A3A15L96IYUO6V,B00002S9MI,Michael S.,958694400
1.0,A1G1UA4XSWAZW9,B00002SAM7,brendlefly,1169164800
4.0,AK94AGPA2L5GY,B00002SA8D,J. Morgan,964137600
4.0,A243HY69GIAHFI,B00002SA8D,tropic_of_criticism,956016000
1.0,A1MPR99AJWXJX0,B00002SA8D,David,1309132800
1.0,A30J7WQV0ZNRXG,B00002SA8D,D. Reinstein,1175990400
5.0,A2IE7YPWUYZAXS,B00002S6GE,David Wilson,971395200
5.0,AGVY193PRPLZC,B00002S6GE,Douglas Smith,960940800
5.0,A1DOWCPTD2S62F,B00002S6GE,bluepenguin,1406851200
5.0,A33WIN510NQ3GK,B00002S6GE,lt5,1221177600
2.0,A2PCZAO3O1O0SE,B00002S6GE,Michael N. Rhoads,1178409600
5.0,A2C27IQUH9N1Z,B00002S6GE,audrey frances,1068076800
5.0,AXJTNYD3UK1BP,B00002S6GE,1smileycat,1050969600
5.0,A1NF93OYP9ZCT5,B00002SAHO,Kindle Customer,1039478400
4.0,A3H4TIVTTA5IBB,B000035Y9O,Brian A. Wolters,985392000
5.0,A1WTCSBFHDKJMS,B00003IEGE,Rocco B. Rubino,985564800
5.0,A3TUWNDO2728F3,B00003IRBU,Lauren,1152662400
4.0,AI290A0Z9Y3XF,B00003IRBU,Holly,1127865600
4.0,AYJF535SFBGXO,B00003IRBU,Obsessed With ND &amp; P!ATD,1127520000
2.0,A3A8ZWV1PQWXK5,B00003IRBU,Hanna,1060041600
4.0,A1P4RH7KMJ1SV2,B00003IRBU,Molly P.,980985600
5.0,A2JFOHC9W629IE,B00003JAU9,scott_from_dallas,1010275200
5.0,A2IFZ00ICAERE4,B00003JAU9,Dave,1009929600
4.0,AQ6XS10RR7CE0,B00003JAU9,Mike P.,998006400
2.0,A3CWH6VKCTJAD,B00003JAU9,Amazon Customer,996364800
4.0,A20ES0B827C52C,B00003JAU9,Amazon Customer,989366400
4.0,A1IU7S4HCK1XK0,B00003JAU9,Joanna D.,986860800
1.0,A1KJ94X41TJLX0,B00003JAU7,Alexis Rios,950745600
2.0,A3PD6NG6XL336W,B00003IRBV,Setsuna,1306281600
4.0,A3ANETCTMAN1NP,B00003IRBV,JJ,1284854400
5.0,AI290A0Z9Y3XF,B00003IRBV,Holly,1127865600
5.0,AYJF535SFBGXO,B00003IRBV,Obsessed With ND &amp; P!ATD,1127520000
5.0,A16UJ76AFPJGEX,B00003JAU7,B. LAWS,1158969600
5.0,A14JBDSWKPKTZA,B00003JAU7,Bob Feeser,1121990400
3.0,A3A8ZWV1PQWXK5,B00003IRBV,Hanna,1060041600
5.0,A26NSROS057DX9,B00003IRBV,Allison,1059091200
3.0,A2J5Y9MKKQTXGW,B00003IRBV,CFR,1056585600
5.0,A5FS50VW0GWEE,B00003JAU7,Baseball,1110499200
5.0,AD0J5KK4WQXNS,B00003JAU7,OverTheMoon,1071705600
5.0,AG42CYU5P8NVQ,B00003JAU7,Mathew A. Shember,1058140800
5.0,A16SG04X5KYYKW,B00003JAU7,Jimmy Blue,1051315200
5.0,A3EQ61ES6HQ090,B00003JAU7,impitbosshereonlevel2,1023840000
5.0,AWIF8AR75LL9L,B00003IRBV,Colorgirl,1000252800
5.0,A1P4RH7KMJ1SV2,B00003IRBV,Molly P.,980294400
4.0,A1C9C1QOQB94RT,B00003JAU7,Robert Herschede,1012953600
4.0,A3JRAKUG0TB81C,B00003JAU7,A. Bagchee,990748800
1.0,AE95Z3K6GVIC3,B00003JAU7,S. Kim,977443200
5.0,A2ZU50LRKINN8B,B00003JAU7,mdw,974937600
5.0,A1C8V13RD60LTR,B00003JAU7,Joe. Robinson,967507200
4.0,ARXU3FESTWMJJ,B00003JAU7,Mary Jo Sminkey,966988800
4.0,A3C1MJ6AYAJ1PP,B00003JAU7,Jon,952387200
4.0,A1M5P9TYPKHYLF,B00003ZANM,R. Lade,952128000
1.0,AB10W5FUXWAJ,B00003ZANM,Ronald Brown,969926400
5.0,A2IE7YPWUYZAXS,B00004NHKM,David Wilson,964569600
4.0,A33WIN510NQ3GK,B00004NHKM,lt5,1221177600
5.0,A1QSF4JURQA14I,B00004NHKM,Amazon Customer,1193702400
5.0,A1U7LS93I03MFW,B00004NHKM,Christopher K. Koenigsberg,1096329600
5.0,A2C27IQUH9N1Z,B00004NHKM,audrey frances,1069459200
5.0,A28FRGJMMTWKKD,B00004NHKM,Rosanne,1052870400
5.0,A1U7LS93I03MFW,B00004NHKU,Christopher K. Koenigsberg,1096329600
4.0,A30H2335OM7RD6,B00004NHKU,apoem,1230422400
1.0,A2AV7Q95QGPTO0,B00004R8KU,Diego Banducci,996364800
3.0,A1IK790BI344RH,B00004R8KU,Amazon Customer,966556800
5.0,A2NYK9KWFMJV4Y,B00004S4XY,Mike Tarrani,1019433600
5.0,A13586UCKKITJZ,B00004S4XY,Linda Zarate,990921600
4.0,AQ6XS10RR7CE0,B00004SZK1,Mike P.,976233600
5.0,A6V9YCQJSXKH7,B00004TEY4,JoAnn Dodson,1131580800
2.0,A1A51F2UV48IZT,B00004THQH,Colorado Girl,1014940800
4.0,A3V6Z4RCDGRC44,B00004TJE6,Lisa Shea,971049600
3.0,A1NF93OYP9ZCT5,B00004TJ01,Kindle Customer,1039478400
5.0,A2C27IQUH9N1Z,B00004TJCM,audrey frances,1068076800
5.0,A2OIXM5GEIAWD1,B00004TJCM,A. Lagemann,1050278400
4.0,A2A2POT5RGXTEQ,B00004TJCM,Avid Dad,1257206400
4.0,A1PEO80SRE0067,B00004TLO0,SideshowJazz1,1265932800
5.0,ATD2TKJE84XRM,B00004TTUB,Amazon Customer,976147200
5.0,A2G0O4Y8QE10AE,B00004TYCR,Deborah Woehr,961977600
3.0,ANEDXRFDZDL18,B00004TYCR,Serene Night,1104883200
4.0,A3RF46CL8GDIN8,B00004TYCR,NorthStar,1096416000
5.0,A1PPD5TOR6VVYV,B00004TYCR,S Smyth,1067385600
1.0,A3KIEI1BC9CENU,B00004TYC4,Herr X,1166313600
5.0,A3B20R4ZAH0Y2Y,B00004U5R7,Dave Millman,1086048000
2.0,A15S4XW3CRISZ5,B00004U9LR,Andre Da Costa,1015372800
3.0,A28ANPKNFQXTP3,B00004U9LR,Safedin Kajoshaj,1007424000
5.0,A3LMPD1ZQTWOC4,B00004UB5G,AmazonLover,1305936000
5.0,AOWU1SSONBZZX,B00004UB5G,WKC,1019779200
4.0,A28FRGJMMTWKKD,B00004UB5G,Rosanne,1015977600
5.0,A2M10P5VJUG4VD,B00004UCUS,Rodney Holmes,1370822400
5.0,A29THQFOAB9U4U,B00004UF32,Jeep Girl,1131840000
4.0,AUM3YMZ0YRJE0,B00004UF32,Robert J. Crawford,1111276800
5.0,A2UDJ3K41GUL1E,B00004UF32,Mrs. BJA,1436918400
5.0,A30YE6NE9XFX9C,B00004UF31,Jim,1289088000
4.0,A2EGK0YRDF4ZZB,B00004UFGD,Bundt Lust,976320000
5.0,A1G1UA4XSWAZW9,B00004VXAA,brendlefly,1169942400
4.0,AXJTNYD3UK1BP,B00004VXAI,1smileycat,1081468800
4.0,A3GQKB1KF0CRPE,B00004W3GS,Deborah Macgillivray,1030147200
5.0,A2IFZ00ICAERE4,B00004W4AM,Dave,970099200
5.0,A3CWH6VKCTJAD,B00004W4AM,Amazon Customer,969321600
1.0,A3TQEF7QWHABGE,B00004W4AM,Wombat Ed,983318400
1.0,A1P7MAO0LW6HCZ,B00004W4AM,Norm De Plume,983145600
1.0,A176Y7DNY6H2DN,B00004W4AM,Darren Griffith,972950400
4.0,AR2DE47VCY1C8,B00004W62P,Joseph H Pierre,989971200
5.0,A2IE7YPWUYZAXS,B00004W62P,David Wilson,980294400
4.0,AB10W5FUXWAJ,B00004W62P,Ronald Brown,971827200
3.0,AT2BYFEVLVITT,B00004W62P,D. Wetzel,966470400
3.0,AT2BYFEVLVITT,B00004W62O,D. Wetzel,966470400
5.0,A1LCS3WQEWUO6Y,B00004W62O,Amazon8892,1225411200
1.0,A20DZX38KRBIT8,B00004W62O,Deimos,1210291200
1.0,A16UJ76AFPJGEX,B00004W62O,B. LAWS,1155427200
1.0,AE95Z3K6GVIC3,B00004W62O,S. Kim,1001635200
1.0,A1R9QOPV6HVEKF,B00004W62O,Adam F. Jewell,1001030400
1.0,AV3DZX3NU7NWU,B00004W62O,Prometheus,999993600
2.0,AQ6XS10RR7CE0,B00004W62O,Mike P.,998006400
2.0,A3S1YIQQW7AZO,B00004W62O,EMAN NEP,986169600
5.0,A1DTOHMM2Y5KY0,B00004W62O,Michael J Woznicki,973209600
5.0,AK94AGPA2L5GY,B00004WFVV,J. Morgan,970963200
4.0,A1M5P9TYPKHYLF,B00004WFVV,R. Lade,969926400
4.0,A1C8V13RD60LTR,B00004WFVV,Joe. Robinson,969580800
1.0,AB10W5FUXWAJ,B00004WFVV,Ronald Brown,987552000
2.0,A28FRGJMMTWKKD,B00004XQP3,Rosanne,1051488000
4.0,A3B20R4ZAH0Y2Y,B00004XQP2,Dave Millman,1000944000
5.0,AK94AGPA2L5GY,B00004YUHO,J. Morgan,971136000
5.0,A2906N9V5I3H6H,B00004YUHO,Michael SEO,1011744000
5.0,A1M5P9TYPKHYLF,B00004YUHO,R. Lade,977011200
5.0,AAXIW3SRA0S4R,B00004YUGM,Laura De Giorgio,1099008000
3.0,AZTB91CGKWV26,B00004YUGL,J. Baker,1170115200
5.0,AAXIW3SRA0S4R,B00004YUGL,Laura De Giorgio,1099008000
1.0,A2K4I7IMWGCG8R,B00004Z0C8,A. Fodor,1171584000
2.0,A3HLUNEJUT3MSP,B00004Z0C8,Mark Guzowski,1063929600
4.0,A2AEZQ3DGBBLPR,B00004Z0C8,Ragnar Danneskjld,1061251200
4.0,A33B44XPTW0WOA,B00004Z0C8,Roy S. Miller,1056758400
5.0,A33ZYFE8XMKKR1,B00004ZAZM,P. Scott Pope,1047945600
5.0,A1P4RH7KMJ1SV2,B000050HEI,Molly P.,978566400
